Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2]",right,2
2,4,"[0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,4
3,4,"[2, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",left,4
4,4,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4, 0, 2]",down,4
5,8,"[4, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",up,4
6,16,"[0, 0, 8, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2]",right,8
7,18,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 4]",down,8
8,18,"[0, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 4]",right,8
9,22,"[4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 4]",right,8
10,30,"[8, 0, 0, 0, 0, 2, 0, 0, 8, 0, 0, 0, 2, 4, 0, 0]",left,8
11,46,"[16, 2, 0, 0, 2, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",up,16
12,46,"[16, 2, 0, 2, 2, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",up,16
13,50,"[16, 4, 0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0]",left,16
14,56,"[0, 0, 0, 0, 0, 0, 0, 0, 16, 8, 2, 0, 4, 2, 0, 0]",down,16
15,56,"[16, 8, 2, 0, 4, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,16
16,60,"[16, 8, 2, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",left,16
17,68,"[0, 16, 8, 2, 2, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2]",right,16
18,68,"[16, 8, 2, 2, 2, 8, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",left,16
19,78,"[2, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 16, 2, 2]",down,16
20,82,"[0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 16, 0, 4, 16, 4]",right,16
21,82,"[0, 2, 16, 2, 0, 4, 0, 16, 0, 0, 0, 4, 0, 0, 2, 0]",up,16
22,82,"[0, 2, 16, 2, 0, 4, 2, 16, 0, 2, 0, 4, 0, 0, 0, 0]",up,16
23,82,"[0, 2, 16, 2, 0, 4, 2, 16, 0, 0, 2, 4, 0, 0, 2, 0]",right,16
24,84,"[0, 0, 4, 0, 0, 0, 16, 2, 0, 2, 2, 16, 0, 4, 4, 4]",down,16
25,96,"[4, 2, 0, 0, 16, 2, 0, 0, 4, 16, 0, 0, 8, 4, 0, 0]",left,16
26,98,"[4, 2, 0, 0, 16, 4, 0, 0, 4, 16, 0, 0, 8, 4, 0, 0]",down,16
27,98,"[0, 0, 4, 2, 0, 0, 16, 4, 0, 2, 4, 16, 0, 0, 8, 4]",right,16
28,98,"[4, 2, 0, 0, 16, 4, 0, 2, 2, 4, 16, 0, 8, 4, 0, 0]",left,16
29,102,"[4, 0, 0, 0, 16, 2, 2, 0, 2, 4, 0, 0, 8, 8, 16, 2]",down,16
30,122,"[0, 0, 0, 4, 0, 0, 16, 4, 0, 0, 2, 4, 2, 16, 16, 2]",right,16
31,130,"[2, 16, 16, 8, 0, 0, 2, 4, 0, 0, 16, 2, 0, 0, 0, 4]",up,16
32,162,"[2, 32, 8, 0, 2, 4, 2, 0, 16, 2, 0, 0, 4, 0, 0, 0]",left,32
33,166,"[4, 32, 8, 0, 16, 4, 2, 0, 4, 2, 0, 0, 0, 0, 0, 2]",up,32
34,166,"[0, 4, 32, 8, 0, 16, 4, 2, 0, 0, 4, 2, 4, 0, 0, 2]",right,32
35,172,"[0, 2, 0, 0, 0, 0, 0, 8, 0, 4, 32, 2, 4, 16, 8, 4]",down,32
36,172,"[0, 0, 0, 2, 0, 0, 0, 8, 2, 4, 32, 2, 4, 16, 8, 4]",right,32
37,172,"[2, 0, 2, 0, 8, 0, 0, 0, 2, 4, 32, 2, 4, 16, 8, 4]",left,32
38,176,"[4, 0, 0, 0, 8, 2, 0, 0, 2, 4, 32, 2, 4, 16, 8, 4]",left,32
39,176,"[0, 0, 0, 4, 2, 0, 8, 2, 2, 4, 32, 2, 4, 16, 8, 4]",right,32
40,180,"[2, 0, 0, 0, 0, 0, 8, 4, 4, 4, 32, 4, 4, 16, 8, 4]",down,32
41,196,"[2, 4, 8, 8, 8, 16, 32, 4, 0, 0, 8, 0, 2, 0, 0, 0]",up,32
