Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",right,2
2,4,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",up,4
3,4,"[0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",up,4
4,6,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4]",down,4
5,14,"[0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8]",right,8
6,14,"[0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 8]",right,8
7,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 2, 0, 0, 8]",down,8
8,16,"[0, 0, 0, 2, 0, 0, 0, 0, 2, 4, 0, 0, 2, 8, 0, 0]",left,8
9,20,"[4, 4, 0, 2, 0, 8, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",up,8
10,28,"[0, 0, 8, 2, 0, 0, 0, 8, 0, 0, 0, 2, 0, 0, 2, 0]",right,8
11,28,"[0, 0, 8, 2, 0, 0, 2, 8, 0, 0, 0, 2, 0, 0, 0, 2]",up,8
12,30,"[0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 8, 8, 0, 0, 2, 4]",down,8
13,46,"[0, 0, 0, 2, 2, 0, 0, 0, 2, 16, 0, 0, 2, 4, 0, 0]",left,16
14,50,"[4, 16, 0, 2, 2, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",up,16
15,52,"[0, 0, 0, 0, 4, 0, 0, 0, 4, 16, 0, 0, 2, 4, 0, 4]",down,16
16,60,"[8, 16, 0, 4, 2, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,16
17,60,"[0, 0, 0, 0, 0, 0, 2, 0, 8, 16, 0, 0, 2, 4, 2, 4]",down,16
18,64,"[8, 16, 4, 4, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",up,16
19,72,"[8, 16, 8, 0, 2, 4, 0, 0, 0, 0, 4, 0, 2, 0, 0, 0]",left,16
20,76,"[8, 16, 8, 0, 4, 4, 4, 0, 0, 0, 0, 2, 0, 0, 0, 0]",up,16
21,84,"[0, 8, 16, 8, 0, 0, 4, 8, 0, 2, 0, 2, 0, 0, 0, 0]",right,16
22,100,"[0, 8, 16, 16, 0, 2, 4, 2, 0, 0, 0, 0, 0, 0, 0, 2]",up,16
23,102,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 8, 16, 16, 0, 2, 4, 4]",down,16
24,142,"[0, 0, 0, 0, 2, 0, 0, 0, 8, 32, 2, 0, 2, 8, 0, 0]",left,32
25,142,"[0, 0, 0, 2, 2, 0, 0, 0, 8, 32, 0, 0, 2, 8, 2, 0]",down,32
26,142,"[2, 0, 0, 0, 2, 0, 2, 0, 8, 32, 0, 0, 2, 8, 2, 0]",left,32
27,146,"[0, 0, 2, 0, 4, 0, 0, 0, 8, 32, 0, 0, 2, 8, 4, 0]",down,32
28,146,"[4, 32, 2, 0, 8, 8, 4, 0, 2, 0, 0, 0, 4, 0, 0, 0]",up,32
29,162,"[0, 4, 32, 2, 2, 0, 16, 4, 0, 0, 0, 2, 0, 0, 0, 4]",right,32
30,162,"[2, 4, 32, 2, 2, 0, 16, 4, 0, 0, 0, 2, 0, 0, 0, 4]",up,32
31,164,"[0, 0, 0, 2, 0, 2, 0, 4, 0, 0, 32, 2, 4, 4, 16, 4]",down,32
32,172,"[2, 0, 0, 0, 2, 4, 2, 0, 32, 2, 0, 0, 8, 16, 4, 0]",left,32
33,176,"[4, 4, 2, 0, 32, 2, 4, 0, 8, 16, 0, 2, 0, 0, 0, 0]",up,32
34,184,"[0, 0, 8, 2, 0, 32, 2, 4, 0, 8, 16, 2, 0, 4, 0, 0]",right,32
35,184,"[0, 0, 8, 2, 0, 32, 2, 4, 2, 8, 16, 2, 0, 0, 0, 4]",right,32
36,184,"[2, 32, 8, 2, 0, 8, 2, 4, 2, 0, 16, 2, 0, 0, 0, 4]",up,32
