Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0]",left,2
2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2]",right,2
3,4,"[0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",up,4
4,8,"[0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",up,4
5,16,"[0, 2, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",right,8
6,16,"[2, 8, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4]",left,8
7,20,"[4, 8, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",up,8
8,20,"[4, 8, 4, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",left,8
9,20,"[4, 8, 4, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]",up,8
10,24,"[4, 8, 4, 2, 4, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]",left,8
11,32,"[8, 8, 4, 2, 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",up,8
12,48,"[0, 16, 4, 2, 0, 2, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0]",right,16
13,54,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 8, 4]",down,16
14,54,"[0, 2, 8, 4, 0, 16, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2]",up,16
15,54,"[2, 8, 4, 0, 16, 0, 0, 0, 2, 2, 0, 0, 2, 0, 0, 0]",left,16
16,58,"[0, 2, 8, 4, 0, 0, 0, 16, 0, 0, 0, 4, 0, 4, 0, 2]",right,16
17,58,"[0, 2, 8, 4, 0, 0, 0, 16, 0, 2, 0, 4, 0, 0, 4, 2]",right,16
18,62,"[0, 4, 8, 4, 2, 0, 4, 16, 0, 0, 0, 4, 0, 0, 0, 2]",up,16
19,62,"[0, 4, 8, 4, 0, 2, 4, 16, 0, 0, 0, 4, 0, 0, 2, 2]",right,16
20,66,"[0, 4, 8, 4, 0, 2, 4, 16, 0, 0, 2, 4, 0, 0, 0, 4]",right,16
21,70,"[0, 0, 0, 0, 0, 0, 8, 4, 0, 4, 4, 16, 2, 2, 2, 8]",down,16
22,82,"[0, 2, 0, 0, 0, 0, 8, 4, 0, 0, 8, 16, 0, 2, 4, 8]",right,16
23,92,"[0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 16, 16, 0, 4, 4, 8]",down,16
24,132,"[2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 32, 0, 0, 8, 8]",right,32
25,148,"[0, 0, 0, 2, 0, 0, 2, 4, 0, 0, 2, 32, 0, 0, 0, 16]",right,32
26,150,"[0, 0, 0, 2, 0, 0, 2, 4, 0, 0, 0, 32, 0, 0, 4, 16]",down,32
27,150,"[2, 0, 2, 0, 2, 4, 0, 0, 32, 0, 0, 0, 4, 16, 0, 0]",left,32
28,152,"[0, 0, 0, 0, 4, 0, 0, 0, 32, 4, 0, 0, 4, 16, 2, 4]",down,32
29,152,"[0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 32, 4, 4, 16, 2, 4]",right,32
30,160,"[4, 2, 32, 8, 0, 16, 2, 4, 0, 0, 0, 0, 4, 0, 0, 0]",up,32
31,164,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 32, 8, 8, 16, 2, 4]",down,32
32,164,"[2, 0, 0, 0, 0, 2, 0, 0, 2, 32, 8, 0, 8, 16, 2, 4]",left,32
33,166,"[0, 0, 0, 0, 0, 2, 0, 4, 4, 32, 8, 0, 8, 16, 2, 4]",down,32
34,170,"[0, 0, 0, 0, 0, 2, 2, 0, 4, 32, 8, 0, 8, 16, 2, 8]",down,32
35,174,"[0, 0, 0, 0, 0, 0, 2, 4, 0, 4, 32, 8, 8, 16, 2, 8]",right,32
36,190,"[8, 4, 2, 4, 0, 16, 32, 16, 0, 0, 2, 0, 0, 0, 0, 2]",up,32
37,190,"[8, 4, 2, 4, 0, 16, 32, 16, 0, 0, 0, 2, 0, 2, 0, 2]",right,32
38,192,"[0, 0, 0, 0, 0, 4, 0, 4, 2, 16, 2, 16, 8, 2, 32, 4]",down,32
39,200,"[0, 2, 0, 0, 0, 0, 0, 8, 2, 16, 2, 16, 8, 2, 32, 4]",right,32
40,200,"[2, 2, 2, 8, 8, 16, 32, 16, 0, 2, 0, 4, 0, 0, 0, 2]",up,32
41,204,"[4, 2, 8, 0, 8, 16, 32, 16, 2, 4, 2, 0, 2, 0, 0, 0]",left,32
