Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",down,2
2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 2]",down,4
3,0,"[0, 2, 4, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",up,4
4,4,"[0, 2, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",up,4
5,12,"[0, 0, 2, 8, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2]",right,8
6,12,"[2, 0, 2, 8, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",up,8
7,20,"[0, 0, 4, 8, 0, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 0]",right,8
8,20,"[4, 8, 0, 0, 4, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",left,8
9,28,"[8, 8, 0, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",up,8
10,48,"[0, 0, 0, 16, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 2]",right,16
11,52,"[0, 0, 0, 16, 0, 0, 0, 4, 0, 2, 0, 4, 0, 0, 0, 0]",up,16
12,60,"[0, 2, 0, 16, 2, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0]",up,16
13,60,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 16, 2, 2, 0, 8]",down,16
14,64,"[2, 4, 2, 16, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0]",up,16
15,64,"[2, 4, 2, 16, 8, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]",left,16
16,64,"[2, 4, 2, 16, 8, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",left,16
17,72,"[2, 8, 2, 16, 8, 0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0]",up,16
18,72,"[2, 8, 2, 16, 8, 2, 0, 0, 4, 0, 0, 0, 0, 2, 0, 0]",left,16
19,76,"[2, 8, 2, 16, 8, 4, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0]",up,16
20,76,"[2, 8, 2, 16, 0, 0, 8, 4, 0, 0, 4, 2, 2, 0, 0, 0]",right,16
21,80,"[4, 8, 2, 16, 0, 0, 8, 4, 2, 0, 4, 2, 0, 0, 0, 0]",up,16
22,80,"[4, 8, 2, 16, 8, 4, 0, 0, 2, 4, 2, 0, 0, 0, 0, 2]",left,16
23,92,"[4, 8, 4, 16, 8, 8, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0]",up,16
24,112,"[4, 8, 4, 16, 0, 2, 16, 2, 0, 0, 0, 4, 0, 0, 0, 0]",right,16
25,112,"[0, 0, 0, 0, 2, 0, 0, 16, 0, 8, 4, 2, 4, 2, 16, 4]",down,16
26,112,"[0, 0, 0, 0, 2, 16, 0, 2, 8, 4, 2, 0, 4, 2, 16, 4]",left,16
27,112,"[0, 0, 0, 0, 0, 2, 16, 2, 2, 8, 4, 2, 4, 2, 16, 4]",right,16
28,114,"[2, 0, 0, 0, 0, 2, 16, 0, 2, 8, 4, 4, 4, 2, 16, 4]",down,16
29,120,"[0, 0, 2, 0, 0, 2, 16, 0, 4, 8, 4, 0, 4, 2, 16, 8]",down,16
30,128,"[8, 2, 2, 8, 0, 8, 16, 2, 0, 2, 4, 0, 0, 0, 16, 0]",up,16
31,132,"[0, 8, 4, 8, 0, 8, 16, 2, 2, 0, 2, 4, 0, 0, 0, 16]",right,16
