Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",down,2
2,4,"[0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",up,4
3,4,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2]",down,4
4,4,"[0, 0, 4, 0, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 2]",down,4
5,4,"[0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 4, 2]",down,4
6,6,"[0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 0, 4, 0, 0, 4, 2]",down,4
7,14,"[0, 2, 2, 8, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0]",up,8
8,18,"[0, 0, 4, 8, 0, 0, 4, 2, 0, 0, 2, 0, 0, 0, 0, 0]",right,8
9,26,"[0, 0, 8, 8, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2]",up,8
10,46,"[0, 0, 2, 16, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2]",right,16
11,46,"[2, 16, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0]",left,16
12,50,"[0, 0, 2, 16, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 0, 4]",right,16
13,58,"[0, 2, 2, 16, 0, 2, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0]",up,16
14,62,"[2, 4, 2, 16, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0]",up,16
15,62,"[2, 4, 2, 16, 8, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",left,16
16,66,"[2, 4, 4, 16, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]",up,16
17,74,"[0, 2, 8, 16, 4, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2]",right,16
18,74,"[0, 2, 8, 16, 0, 2, 4, 8, 0, 0, 0, 0, 0, 0, 0, 2]",right,16
19,78,"[0, 4, 8, 16, 0, 0, 4, 8, 0, 0, 2, 2, 0, 0, 0, 0]",up,16
20,82,"[2, 4, 8, 16, 0, 0, 4, 8, 0, 0, 0, 4, 0, 0, 0, 0]",right,16
21,82,"[2, 4, 8, 16, 4, 8, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0]",left,16
22,90,"[2, 4, 8, 16, 8, 8, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0]",up,16
23,110,"[2, 4, 8, 16, 0, 0, 0, 16, 0, 0, 0, 4, 0, 0, 2, 0]",right,16
24,142,"[2, 4, 8, 32, 0, 0, 2, 4, 0, 2, 0, 0, 0, 0, 0, 0]",up,32
25,142,"[2, 4, 8, 32, 2, 4, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0]",left,32
